leaf_size, node_size, main_loc, snippet_size, snippet_loc, build_or_not
2, 3, -1, 10, -1, false
1, 2, -1, 10, -1, false
3, 4, -1, 12, -1, false
1, 2, -1, 10, -1, false
2, 3, -1, 10, -1, false
1, 1, -1, 3, -1, false
2, 3, -1, 8, -1, false
3, 4, -1, 8, -1, false
2, 3, -1, 8, -1, false
9, 12, -1, 9, -1, false
4, 6, -1, 9, -1, false
7, 10, -1, 9, -1, false
3, 7, -1, 13, -1, false
7, 12, -1, 14, -1, false
7, 12, -1, 15, -1, false
1, 5, -1, 11, -1, false
1, 4, -1, 11, -1, false
2, 6, -1, 11, -1, false
1, 5, -1, 10, -1, false
1, 5, -1, 10, -1, false
2, 5, -1, 10, -1, false
2, 8, -1, 11, -1, false
3, 10, -1, 11, -1, false
2, 8, -1, 10, -1, false
3, 5, -1, 12, -1, false
4, 6, -1, 10, -1, false
4, 6, -1, 12, -1, false
1, 2, -1, 0, -1, true
1, 1, -1, 0, -1, true
0, 1, -1, 0, -1, true
4, 5, -1, 0, -1, true
3, 4, -1, 0, -1, true
4, 5, -1, 0, -1, true
1, 1, -1, 0, -1, true
1, 1, -1, 0, -1, true
1, 2, -1, 0, -1, true
1, 2, -1, 0, -1, true
0, 1, -1, 0, -1, true
1, 2, -1, 0, -1, true
9, 10, -1, 14, -1, false
4, 5, -1, 14, -1, false
9, 10, -1, 14, -1, false
2, 3, -1, 12, -1, false
4, 5, -1, 12, -1, false
2, 3, -1, 12, -1, false
12, 13, -1, 14, -1, false
8, 9, -1, 13, -1, false
9, 10, -1, 11, -1, false
40, 67, -1, 21, -1, false
31, 56, -1, 18, -1, false
37, 63, -1, 18, -1, false
23, 32, -1, 25, -1, false
18, 26, -1, 25, -1, false
19, 27, -1, 24, -1, false
11, 20, -1, 2, -1, false
10, 17, -1, 3, -1, false
8, 17, -1, 2, -1, false
25, 37, -1, 17, -1, false
18, 27, -1, 15, -1, false
23, 35, -1, 17, -1, false
17, 25, -1, 32, -1, false
18, 27, -1, 32, -1, false
24, 32, -1, 32, -1, false
9, 21, -1, 6, -1, false
13, 23, -1, 5, -1, false
10, 19, -1, 6, -1, false
4, 7, -1, 1, -1, true
3, 6, -1, 0, -1, true
2, 5, -1, 1, -1, true
8, 16, -1, 14, -1, false
5, 13, -1, 14, -1, false
7, 14, -1, 14, -1, false
6, 13, -1, 17, -1, false
5, 10, -1, 16, -1, false
10, 16, -1, 17, -1, false
1, 1, -1, 17, -1, false
2, 3, -1, 18, -1, false
3, 4, -1, 19, -1, false
21, 33, -1, 29, -1, false
14, 25, -1, 22, -1, false
18, 29, -1, 28, -1, false
14, 29, -1, 1, -1, false
16, 30, -1, 1, -1, false
15, 29, -1, 1, -1, false
3, 5, -1, 0, -1, false
3, 6, -1, 0, -1, false
3, 6, -1, 0, -1, false
1, 2, -1, 0, -1, true
0, 1, -1, 0, -1, true
1, 2, -1, 0, -1, true
0, 1, -1, 0, -1, true
0, 1, -1, 0, -1, true
2, 3, -1, 0, -1, false
25, 42, -1, 57, -1, false
28, 50, -1, 57, -1, false
32, 52, -1, 57, -1, false
1, 2, -1, 11, -1, false
4, 5, -1, 17, -1, false
8, 9, -1, 24, -1, false
