leaf_size, snippet_size, build_or_not
3, 4, false
0, 0, true
1, 0, false
0, 0, true
3, 6, true
3, 6, true
3, 6, true
1, 5, true
0, 0, true
0, 0, true
1, 0, true
1, 0, true
0, 0, true
4, 5, true
4, 0, true
3, 5, true
8, 6, true
7, 5, true
7, 8, true
4, 9, true
4, 5, true
4, 6, true
4, 63, false
5, 66, false
5, 62, false
6, 67, false
8, 67, false
9, 67, false
5, 63, false
17, 67, false
21, 67, false
15, 67, false
17, 67, false
16, 67, false
9, 65, false
6, 61, false
6, 37, false
4, 58, false
9, 65, false
7, 61, false
2, 40, false
4, 61, false
2, 9, false
5, 68, false
7, 65, false
2, 37, false
6, 39, false
9, 39, false
11, 39, false
6, 36, false
5, 36, false
3, 36, false
0, 0, true
3, 38, false
4, 39, false
1, 36, false
3, 36, false
2, 36, false
3, 56, false
4, 36, false
2, 56, false
3, 39, false
6, 64, false
5, 58, false
1, 0, true
0, 0, true
0, 0, true
4, 38, false
1, 2, false
0, 0, true
3, 49, false
5, 39, false
2, 46, false
1, 67, false
1, 67, false
0, 0, true
5, 45, false
6, 41, false
4, 41, false
1, 0, false
0, 0, true
1, 0, false
0, 0, true
0, 0, true
0, 0, true
5, 48, false
8, 50, false
8, 49, false
1, 50, false
5, 52, false
0, 0, true
4, 36, false
4, 55, false
6, 55, false
1, 36, false
4, 56, false
5, 56, false
1, 0, true
2, 56, false
2, 56, false
12, 36, false
11, 36, false
8, 36, false
11, 91, false
10, 43, false
6, 42, false
2, 40, false
1, 47, false
3, 49, false
1, 0, true
0, 0, true
0, 0, true
1, 0, false
0, 0, true
0, 0, true
8, 3, false
5, 3, false
4, 3, false
4, 6, false
4, 9, false
2, 5, false
1, 0, true
3, 1, false
2, 0, false
5, 9, false
2, 3, false
1, 0, true
8, 3, false
7, 3, false
6, 3, false
14, 361, false
7, 361, false
7, 361, false
11, 0, false
13, 0, false
15, 0, false
2, 1, false
2, 5, false
0, 0, true
0, 0, true
1, 1, false
2, 5, false
1, 0, true
1, 0, true
0, 0, true
0, 0, true
2, 1, true
1, 0, true
0, 0, true
3, 0, false
0, 0, true
1, 0, true
1, 0, true
2, 0, false
6, 369, false
6, 65, false
4, 65, false
0, 0, true
2, 10, false
1, 4, false
1, 362, false
2, 6, false
0, 0, true
3, 12, false
2, 6, false
3, 12, false
3, 370, false
1, 362, false
3, 12, false
7, 64, false
5, 8, false
5, 64, false
2, 363, false
1, 2, false
1, 362, false
3, 369, false
3, 9, false
5, 45, false
2, 10, false
1, 362, false
1, 362, false
37, 44, false
29, 46, false
34, 372, false
16, 371, false
11, 45, false
13, 45, false
3, 369, false
1, 2, false
1, 6, false
2, 368, false
