filename, linum,f1:var_name, f2:var_type, f3:distance, f4:AST_Distance,in_slice_or_not
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 130, 1, 9, -76, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 130, 1, 8, -76, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 133, 1, 9, -79, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 133, 1, 9, -79, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 133, 1, 8, -79, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 136, 1, 9, -82, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 136, 1, 9, -82, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 136, 1, 8, -82, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 140, 1, 9, -86, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 140, 1, 9, -86, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 140, 1, 8, -86, 8, true
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 146, 1, 9, -92, 8, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 146, 1, 9, -92, 8, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 146, 1, 8, -92, 8, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 149, 1, 9, -95, 6, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 150, 1, 9, -96, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 150, 1, 9, -96, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 154, 1, 9, -100, 10, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 154, 1, 9, -100, 10, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 158, 1, 9, -104, 8, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 158, 1, 9, -104, 8, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 158, 1, 8, -104, 8, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 161, 1, 9, -107, 6, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 162, 1, 9, -108, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 162, 1, 9, -108, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 166, 1, 9, -112, 10, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 166, 1, 9, -112, 10, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 170, 1, 9, -116, 8, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 170, 1, 9, -116, 8, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 170, 1, 8, -116, 8, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 173, 1, 9, -119, 6, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 174, 1, 9, -120, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 174, 1, 9, -120, 9, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 178, 1, 9, -124, 10, false
/Users/hebi/benchmark/gzip-1.7/lib/printf-args.c, 178, 1, 9, -124, 10, false
filename, linum,f1:var_name, f2:var_type, f3:distance, f4:AST_Distance,in_slice_or_not
filename, linum,f1:var_name, f2:var_type, f3:distance, f4:AST_Distance,in_slice_or_not
filename, linum,f1:var_name, f2:var_type, f3:distance, f4:AST_Distance,in_slice_or_not
filename, linum,f1:var_name, f2:var_type, f3:distance, f4:AST_Distance,in_slice_or_not
/Users/hebi/benchmark/gzip-1.7/lib/pipe-safer.c, 42, 1, 16, 0, 4, true
/Users/hebi/benchmark/gzip-1.7/lib/pipe-safer.c, 44, 1, 16, -2, 6, false
filename, linum,f1:var_name, f2:var_type, f3:distance, f4:AST_Distance,in_slice_or_not
/Users/hebi/benchmark/gzip-1.7/lib/pipe-safer.c, 36, 1, 16, 0, 4, true
/Users/hebi/benchmark/gzip-1.7/lib/pipe-safer.c, 37, 1, 16, -1, 6, false
/Users/hebi/benchmark/gzip-1.7/lib/pipe-safer.c, 39, 1, 16, -3, 7, false
/Users/hebi/benchmark/gzip-1.7/lib/pipe-safer.c, 40, 1, 16, -4, 8, false
/Users/hebi/benchmark/gzip-1.7/lib/pipe-safer.c, 43, 1, 16, -7, 9, false
filename, linum,f1:var_name, f2:var_type, f3:distance, f4:AST_Distance,in_slice_or_not
/Users/hebi/benchmark/gzip-1.7/lib/asnprintf.c, 25, 1, 17, 5, 5, true
/Users/hebi/benchmark/gzip-1.7/lib/asnprintf.c, 27, 1, 8, 3, 6, true
/Users/hebi/benchmark/gzip-1.7/lib/asnprintf.c, 30, 1, 8, 0, 4, true
/Users/hebi/benchmark/gzip-1.7/lib/asnprintf.c, 30, 1, 17, 0, 4, true
/Users/hebi/benchmark/gzip-1.7/lib/asnprintf.c, 31, 1, 8, -1, 6, false
/Users/hebi/benchmark/gzip-1.7/lib/asnprintf.c, 31, 1, 17, -1, 6, false
/Users/hebi/benchmark/gzip-1.7/lib/asnprintf.c, 32, 1, 8, -2, 6, false
filename, linum,f1:var_name, f2:var_type, f3:distance, f4:AST_Distance,in_slice_or_not
filename, linum,f1:var_name, f2:var_type, f3:distance, f4:AST_Distance,in_slice_or_not
filename, linum,f1:var_name, f2:var_type, f3:distance, f4:AST_Distance,in_slice_or_not
filename, linum,f1:var_name, f2:var_type, f3:distance, f4:AST_Distance,in_slice_or_not
/Users/hebi/benchmark/gzip-1.7/lib/pipe-safer.c, 36, 1, 16, 1, 6, true
/Users/hebi/benchmark/gzip-1.7/lib/pipe-safer.c, 37, 1, 16, 0, 4, true
/Users/hebi/benchmark/gzip-1.7/lib/pipe-safer.c, 39, 1, 16, -2, 5, false
